"   ","GPMS_ID","REGION","COUNTRY"
"1","303520","EMIA","BY"
"2","002860","LATAM","MX"
"3","100437","CA","CA"
"4","002990","US","US"
"5","300568","EU","EU"
"6","002254","US","US"
"7","000356","US","US"
"8","000590","US","US"
"9","004692","US","US"
"10","300123","EU","EU"
"11","004702","US","US"
"12","004705","US","US"
"13","100481","CA","CA"
"14","000131","US","US"
"15","000570","US","US"
"16","004713","US","US"
"17","000155","US","US"
"18","000678","US","US"
"19","000207","US","US"
"20","300127","EU","EU"
"21","001090","US","US"
"22","004824","US","US"
"23","003169","US","US"
"24","100124","CA","CA"
"25","000607","US","US"
"26","000597","US","US"
"27","300430","EU","EU"
"28","001186","US","US"
"29","100188","CA","CA"
"30","304488","US","US"
"31","001764","US","US"
"32","000162","US","US"
"33","100448","CA","CA"
"34","100296","CA","CA"
"35","002078","US","US"
"36","000329","US","US"
"37","000362","US","US"
"38","003840","US","US"
"39","004689","US","US"
"40","300145","EU","EU"
"41","004697","US","US"
"42","000765","US","US"
"43","000755","US","US"
"44","000345","US","US"
"45","002306","US","US"
"46","001833","EU","EU"
"47","100194","CA","CA"
"48","000971","US","US"
"49","000173","US","US"
"50","000399","US","US"
"51","001963","US","US"
"52","001141","US","US"
"53","304496","US","US"
"54","000730","US","US"
"55","000177","US","US"
"56","002268","US","US"
"57","000103","US","US"
"58","004744","US","US"
"59","000552","US","US"
"60","001651","US","US"
"61","100544","CA","CA"
"62","000468","US","US"
"63","000360","US","US"
"64","100656","CA","CA"
"65","000189","US","US"
"66","004395","US","US"
"67","000496","US","US"
"68","000301","US","US"
"69","004722","US","US"
"70","001753","EU","EU"
"71","000920","CA","CA"
"72","000190","US","US"
"73","000568","US","US"
"74","001621","US","US"
"75","002009","US","US"
"76","001479","US","US"
"77","003841","US","US"
"78","100393","CA","CA"
"79","002415","US","US"
"80","000610","US","US"
"81","003255","US","US"
"82","000666","US","US"
"83","700128","EU","EU"
"84","300893","EU","EU"
"85","300130","EU","EU"
"86","002065","US","US"
"87","001361","US","US"
"88","300102","EU","EU"
"89","300774","EU","EU"
"90","000747","US","US"
"91","300177","EU","EU"
"92","003985","US","US"
"93","001501","US","US"
"94","000317","US","US"
"95","000652","US","US"
"96","001166","CA","CA"
"97","100432","CA","CA"
"98","302767","EU","EU"
"99","000673","US","US"
"100","300821","EU","EU"
"101","000745","US","US"
"102","001278","US","US"
"103","003877","US","US"
"104","000146","US","US"
"105","004881","US","US"
"106","000371","US","US"
"107","000213","US","US"
"108","000547","US","US"
"109","000382","US","US"
"110","000125","US","US"
"111","004719","US","US"
"112","003874","US","US"
"113","300822","CA","CA"
"114","001974","US","US"
"115","000383","US","US"
"116","001981","US","US"
"117","001975","CA","CA"
"118","002212","EU","EU"
"119","000274","US","US"
"120","300443","EU","EU"
"121","001672","US","US"
"122","302369","EU","EU"
"123","300241","EU","EU"
"124","004730","US","US"
"125","001334","EU","EU"
"126","100539","CA","CA"
"127","000132","US","US"
"128","300491","EU","EU"
"129","000631","US","US"
"130","300559","EU","EU"
"131","001096","US","US"
"132","001687","CA","CA"
"133","000923","CA","CA"
"134","300837","EU","EU"
"135","000266","US","US"
"136","001686","EU","EU"
